dist,year,est,se
0_10mi,05_06,-0.0832284874889557,0.0145327985584904
0_10mi,07_08,-0.047394163388148,0.0144749958988166
0_10mi,09_10,-0.013615972821144,0.0146505964227867
0_10mi,11_12,-0.015809374745144,0.0143400946971457
0_10mi,13_14,-0.0142061470348972,0.011659391936612
0_10mi,15+,-0.0369384816106144,0.00769669825973094
5_15mi,05_06,-0.132866115328773,0.0161252709286865
5_15mi,07_08,-0.112143122893249,0.0158798099657122
5_15mi,09_10,-0.078182107782249,0.0158917154461888
5_15mi,11_12,-0.0519095282408601,0.0160809385869122
5_15mi,13_14,-0.0212411192155937,0.0131514243473104
5_15mi,15+,-0.0568326974592905,0.00848707429362013
10_20mi,05_06,-0.130275150802064,0.0157031023694031
10_20mi,07_08,-0.13132439231755,0.0160615575543151
10_20mi,09_10,-0.0693465666808722,0.01618187525945
10_20mi,11_12,-0.0576189654059951,0.0166869761958664
10_20mi,13_14,-0.0385913883759718,0.0133487633137714
10_20mi,15+,-0.0528700630681184,0.00855228656670469
