dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0431846714786245,0.00690920006327839,11828,119684
0_10mi,07_08,-0.0301806206521638,0.00804762113055111,9770,104139
0_10mi,09_10,0.00374181654877269,0.00844751753724271,9117,95381
0_10mi,11_12,-0.00742509977959585,0.00794948457122987,11574,111688
0_10mi,13_14,-0.0107735307384606,0.00643559075937255,16441,162780
0_10mi,15+,-0.0320788621573808,0.00402863423165204,36689,358412
5_15mi,05_06,-0.12627769797738,0.00684065013410288,12144,178939
5_15mi,07_08,-0.123064392411292,0.00814200641407231,9741,157516
5_15mi,09_10,-0.0460993531646001,0.00873054144763061,9410,148099
5_15mi,11_12,-0.0396330366711351,0.00834577704071744,11769,170326
5_15mi,13_14,-0.0498871021042882,0.0070271050583072,15992,248848
5_15mi,15+,-0.0778901412624814,0.00570862440598085,20054,300000
10_20mi,05_06,-0.1965174215836,0.00694185277027776,12172,218750
10_20mi,07_08,-0.18590892622523,0.00826989137781986,9655,188324
10_20mi,09_10,-0.0949234769759229,0.00887338580718335,9389,177318
10_20mi,11_12,-0.065805485793552,0.00854087197257568,11723,207027
10_20mi,13_14,-0.113790792639177,0.00746788957760606,15903,303459
10_20mi,15+,-0.092591013460172,0.00650928194661781,16153,300000
