dist,year,est,se,wnobs,nobs
0_10mi,05_06,-0.0711322728250679,0.0158061829106277,3021,35707
0_10mi,07_08,-0.0252229676636826,0.0151701925361641,3355,37984
0_10mi,09_10,-0.0235383741789173,0.0156828045665661,3061,34307
0_10mi,11_12,0.00253267640201512,0.0158614769749826,3292,38023
0_10mi,13_14,-0.00720365193370528,0.0131334833088053,4448,55184
0_10mi,15+,-0.0166682193024001,0.0084370528631975,9651,119351
5_15mi,05_06,-0.137667782414917,0.0165569256104647,2874,60812
5_15mi,07_08,-0.105336024264506,0.0154480128271885,3122,60982
5_15mi,09_10,-0.100302974748327,0.0161589159187564,2915,56743
5_15mi,11_12,-0.0474503039096374,0.0163493285472506,3229,64382
5_15mi,13_14,-0.0193489122730075,0.0134318975970569,4396,94102
5_15mi,15+,-0.0617877299383301,0.00853432556313219,9656,203051
10_20mi,05_06,-0.1471673044426,0.016016438228308,2812,76287
10_20mi,07_08,-0.113069888681985,0.0158566622313899,3051,72140
10_20mi,09_10,-0.0753970215614142,0.0166576201809423,2831,65430
10_20mi,11_12,-0.0507175413166701,0.0167700616296318,3156,76564
10_20mi,13_14,-0.0170137555488045,0.0138825524948452,4315,113324
10_20mi,15+,-0.0450296113503742,0.00879591037828642,9428,248552
