dist,year,est,se,wnobs,nobs
0_10mi,05_06,0.00072392455603581,0.00811265746636322,5807,47786
0_10mi,07_08,0.0242514294850036,0.010716466521107,4517,35922
0_10mi,09_10,0.0267447001707956,0.0116695984249283,3958,34224
0_10mi,11_12,0.00287895501994391,0.0102883417434721,5642,41854
0_10mi,13_14,0.0186015037944579,0.0082941399971915,8252,62022
0_10mi,15+,-0.0105396399427877,0.00525099218631493,17866,134018
5_15mi,05_06,-0.137918366810783,0.00783753899488824,6240,64758
5_15mi,07_08,-0.139930963641706,0.0103419495140341,4692,50480
5_15mi,09_10,-0.0516276472664507,0.0123681045952403,4367,50870
5_15mi,11_12,-0.020024902377068,0.0113096098609825,5898,61953
5_15mi,13_14,-0.0494400517563307,0.00959156106695943,8102,91363
5_15mi,15+,-0.102204480532875,0.00585894595024819,17664,193472
10_20mi,05_06,-0.240785791549794,0.00791410668043572,6523,76173
10_20mi,07_08,-0.253028182541802,0.00985625140324474,4829,59834
10_20mi,09_10,-0.163353162216002,0.0117921323405553,4540,59732
10_20mi,11_12,-0.0472411878732078,0.0110769736638691,6113,73110
10_20mi,13_14,-0.147204145348129,0.0103761999144192,8282,107428
10_20mi,15+,-0.133678348126925,0.00592025406762832,17837,226667
