"",2015-2019 ACS Est,2015-2019 ACS MOE
National,0.126,0.000178
Metropolitan (RUCA 1-3),0.149,0.000238
Micropolitan (RUCA 4-6),0.0882,0.000491
Rural (RUCA 7-10),0.07,0.000433
Northeast,0.119,0.000418
Midwest,0.102,0.000317
South,0.191,0.000352
West,0.0468,0.000271
ReConnect Regions,0.106,0.00132
ReConnect Metropolitan,0.0889,0.00222
ReConnect Micropolitan,0.137,0.0032
ReConnect Rural,0.102,0.0021
ReConnect Northeast,0.00942,0.00085
ReConnect Midwest,0.0225,0.00108
ReConnect South,0.199,0.00277
ReConnect West,0.00344,0.000776
ReConnect Round 1,0.093,0.00152
ReConnect Round 2,0.121,0.0022
In RC and Fiber,0.124,0.0016
In RC and Fiber plus,0.0187,0.00195
In RC and Non-fiber,0.106,0.00309
In RC Approved,0.121,0.00222
In RC Rejected,0.0988,0.00163
In RC Withdrawn,0.132,0.0076
