"",2015-2019 ACS Est,2015-2019 ACS MOE
National,0.651,0.000245
Metropolitan (RUCA 1-3),0.646,0.000306
Micropolitan (RUCA 4-6),0.648,0.000821
Rural (RUCA 7-10),0.656,0.000795
Northeast,0.639,0.000555
Midwest,0.634,0.000454
South,0.658,0.000426
West,0.664,0.000529
ReConnect Regions,0.676,0.00189
ReConnect Metropolitan,0.703,0.00361
ReConnect Micropolitan,0.672,0.0042
ReConnect Rural,0.654,0.00283
ReConnect Northeast,0.65,0.00367
ReConnect Midwest,0.679,0.00284
ReConnect South,0.678,0.00334
ReConnect West,0.69,0.00817
ReConnect Round 1,0.681,0.00246
ReConnect Round 2,0.67,0.0029
In RC and Fiber,0.683,0.0022
In RC and Fiber plus,0.665,0.00585
In RC and Non-fiber,0.666,0.00398
In RC Approved,0.681,0.00305
In RC Rejected,0.673,0.0024
In RC Withdrawn,0.695,0.00898
